"verbatimLifeStage","standardLifeStage","uri","checked","opinionBy","opinionDate"
"28 days of incubation",,,0,"John Wieczorek","2017-08-25"
"28 days old",,,0,"John Wieczorek","2017-08-25"
"28 days old.",,,0,"John Wieczorek","2017-08-25"
"28 months; Immature",,,0,"John Wieczorek","2017-08-25"
"28 mos",,,1,"David Bloom","2018-06-13"
"28 years",,,0,"John Wieczorek","2017-08-25"
"28 yr",,,1,"David Bloom","2019-08-28"
"28.5 mos",,,1,"David Bloom","2018-06-13"
"280 days",,,0,"John Wieczorek","2017-08-25"
"28-35 days",,,1,"David Bloom","2018-06-13"
"2848 slight",,,0,"John Wieczorek","2017-08-25"
"285 days",,,0,"John Wieczorek","2017-08-25"
"2853 slight-moderate",,,0,"John Wieczorek","2017-08-25"
"2856 slight",,,0,"John Wieczorek","2017-08-25"
"2858 fresh; 2859 slight; 2860 ve",,,0,"John Wieczorek","2017-08-25"
"2858 fresh; 2859 slight; 2860 very slight.",,,0,"John Wieczorek","2017-08-25"
"2870 fresh; 2871 slight",,,0,"John Wieczorek","2017-08-25"
"288 days",,,0,"John Wieczorek","2017-08-25"
"28y",,,0,"John Wieczorek","2017-08-25"
"29",,,0,"John Wieczorek","2017-08-25"
"29 & 30 infertile 31 large embry",,,0,"John Wieczorek","2017-08-25"
"29 & 30 infertile 31 large embryo",,,0,"John Wieczorek","2017-08-25"
"29 ADULT; 51 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"29 days",,,0,"John Wieczorek","2017-08-25"
"29 days of incubation",,,0,"John Wieczorek","2017-08-25"
"29 days; Downy chick",,,0,"John Wieczorek","2017-08-25"
"29 m.",,,1,"David Bloom","2019-08-28"
"29 tadpoles",,,0,"John Wieczorek","2017-08-25"
"29.5 mos",,,1,"David Bloom","2018-06-13"
"292 days",,,0,"John Wieczorek","2017-08-25"
"2922 fresh",,,0,"John Wieczorek","2017-08-25"
"29K",,,0,"John Wieczorek","2017-08-25"
"2-advanced, 1-infertile",,,0,"John Wieczorek","2017-08-25"
"2äggk.",,,0,"John Wieczorek","2017-08-25"
"2D",,,1,"David Bloom","2019-09-03"
"2d yr?",,,0,"John Wieczorek","2017-08-25"
"2-day juv.",,,0,"John Wieczorek","2017-08-25"
"2days",,,0,"John Wieczorek","2017-08-25"
"2-embryo visible, 3-embryos larg",,,0,"John Wieczorek","2017-08-25"
"2-embryos visible, 2-embryos lar",,,0,"John Wieczorek","2017-08-25"
"2-embryos visible, 2-pronounced ",,,0,"John Wieczorek","2017-08-25"
"2-embryos visible, 3-embryos lar",,,0,"John Wieczorek","2017-08-25"
"2-embryos visible, 5-embryos lar",,,0,"John Wieczorek","2017-08-25"
"2F",,,0,"John Wieczorek","2017-08-25"
"2-faint trace of blood, 1-pronou",,,0,"John Wieczorek","2017-08-25"
"2-faint trace of blood, 2-pronou",,,0,"John Wieczorek","2017-08-25"
"2-fairly well incubated; 2-fresh",,,0,"John Wieczorek","2017-08-25"
"2j",,,0,"John Wieczorek","2017-08-25"
"2K",,,0,"John Wieczorek","2017-08-25"
"2K?",,,0,"John Wieczorek","2017-08-25"
"2K+",,,0,"John Wieczorek","2017-08-25"
"2-large embryos, 2-infertile",,,0,"John Wieczorek","2017-08-25"
"2MK",,,0,"John Wieczorek","2017-08-25"
"2nd clutch frag. Broke in nest",,,0,"John Wieczorek","2017-08-25"
"2nd winter",,,1,"David Bloom","2019-08-29"
"2ND WINTER? BURSA 28 X 6 MM, THI",,,0,"John Wieczorek","2017-08-25"
"2nd y",,,0,"John Wieczorek","2017-08-25"
"2nd year",,,0,"John Wieczorek","2017-08-25"
"2nd year bird by plumage",,,0,"John Wieczorek","2017-08-25"
"2nd year immature",,,0,"John Wieczorek","2017-08-25"
"2nd Year Male","second year",,1,"John Wieczorek","2017-08-25"
"2nd yr",,,0,"John Wieczorek","2017-08-25"
"2nd yr.",,,0,"John Wieczorek","2017-08-25"
"2P",,,0,"John Wieczorek","2017-08-25"
"2-pronounced trace of blood, 1-e",,,0,"John Wieczorek","2017-08-25"
"2-pronounced trace of blood, 1-f",,,0,"John Wieczorek","2017-08-25"
"2-Showing blood; 1 Large embryo",,,0,"John Wieczorek","2017-08-25"
"2-Showing Blood; 1-Fresh",,,0,"John Wieczorek","2017-08-25"
"2-small embryos; 1- large embryo",,,0,"John Wieczorek","2017-08-25"
"2-strictly fresh, 1-faint trace ",,,0,"John Wieczorek","2017-08-25"
"2-strictly fresh, 2-faint trace ",,,0,"John Wieczorek","2017-08-25"
"2-strictly fresh, 3-faint trace ",,,0,"John Wieczorek","2017-08-25"
"2Y",,,0,"John Wieczorek","2017-08-25"
"2y 6m",,,0,"John Wieczorek","2017-08-25"
"2y 6m 15d",,,0,"John Wieczorek","2017-08-25"
"2Y,0M,22D",,,1,"David Bloom","2019-09-03"
"2y,7m estimate",,,1,"David Bloom","2019-09-03"
"2yrs 3 mo",,,1,"David Bloom","2018-06-13"
"2yrs 4mos",,,0,"John Wieczorek","2017-08-25"
"3",,,0,"John Wieczorek","2017-08-25"
"-3",,,0,"John Wieczorek","2017-08-25"
"3 - 2/3, 2 addled",,,0,"John Wieczorek","2017-08-25"
"3 - 9/10; 1 - 1/4; 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 & 4 days",,,0,"John Wieczorek","2017-08-25"
"3 & 5 DAYS RESPECTIVELY",,,0,"John Wieczorek","2017-08-25"
"3 (=HY)",,,0,"John Wieczorek","2017-08-25"
"3 (1st calendar year)",,,0,"John Wieczorek","2017-08-25"
"3 (Juv)",,,0,"John Wieczorek","2017-08-25"
"3 18 day old young banded",,,0,"John Wieczorek","2017-08-25"
"3 about 1/3, 2 about 2/3",,,0,"John Wieczorek","2017-08-25"
"3 about 1/3. 4 about 1/4",,,0,"John Wieczorek","2017-08-25"
"3 about half; 1 almost complete",,,0,"John Wieczorek","2017-08-25"
"3 addled eggs left in nest; 9 ha",,,0,"John Wieczorek","2017-08-25"
"3 addled eggs. No copulation obs",,,0,"John Wieczorek","2017-08-25"
"3 addled eggs. No copulation observed",,,0,"John Wieczorek","2017-08-25"
"3 addled, 1 died small embryo, e",,,0,"John Wieczorek","2017-08-25"
"3 addled, 1 died small embryo, estimated 7 days",,,0,"John Wieczorek","2017-08-25"
"3 addled, 1 hatched in lab",,,0,"John Wieczorek","2017-08-25"
"3 addled, 1 heavy",,,0,"John Wieczorek","2017-08-25"
"3 addled, 2 begun",,,0,"John Wieczorek","2017-08-25"
"3 addled, 2 one week",,,0,"John Wieczorek","2017-08-25"
"3 addled, 2 well-begun",,,0,"John Wieczorek","2017-08-25"
"3 ADULT",,,0,"John Wieczorek","2017-08-25"
"3 adult and sub-adult",,,0,"John Wieczorek","2017-08-25"
"3 adult, 1 medium",,,0,"John Wieczorek","2017-08-25"
"3 adult, 6 medium",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 1 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 1 LARVAE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 11 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 117 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 15 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 16 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 2 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 24 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 ADULT; 7 JUVENILE",,,0,"John Wieczorek","2017-08-25"
"3 adults",,,0,"John Wieczorek","2017-08-25"
"3 adults, 2 juveniles",,,0,"John Wieczorek","2017-08-25"
"3 adults, 6 juveniles",,,0,"John Wieczorek","2017-08-25"
"3 ADULTS, 8 LARVAE",,,0,"John Wieczorek","2017-08-25"
"3 adults, female w/young",,,0,"John Wieczorek","2017-08-25"
"3 adults, plus eggs",,,0,"John Wieczorek","2017-08-25"
"3 advanced, 1 addled",,,0,"John Wieczorek","2017-08-25"
"3 advanced, 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 advanced, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 advanced, 6 rotten",,,0,"John Wieczorek","2017-08-25"
"3 advanced. One infertile egg.",,,0,"John Wieczorek","2017-08-25"
"3 badly incubated, 2 infertile",,,0,"John Wieczorek","2017-08-25"
"3 begun",,,0,"John Wieczorek","2017-08-25"
"3 begun, 2 fresh",,,0,"John Wieczorek","2017-08-25"
"3 begun, 5 advanced",,,0,"John Wieczorek","2017-08-25"
"3 begun, right fresh no yolk",,,0,"John Wieczorek","2017-08-25"
"3 broken",,,0,"John Wieczorek","2017-08-25"
"3 broken, 1 commenced",,,0,"John Wieczorek","2017-08-25"
"3 broken; 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 chicks @ 4.5 - 5.5 + 1 egg",,,0,"John Wieczorek","2017-08-25"
"3 chicks + 1 egg",,,0,"John Wieczorek","2017-08-25"
"3 chicks fledged",,,0,"John Wieczorek","2017-08-25"
"3 chicks left on nest. Egg hatch",,,0,"John Wieczorek","2017-08-25"
"3 chicks left on nest. Egg hatched while blowing (",,,0,"John Wieczorek","2017-08-25"
"3 clutch",,,0,"John Wieczorek","2017-08-25"
"3 contained small embryo, 1 addl",,,0,"John Wieczorek","2017-08-25"
"3 da",,,0,"John Wieczorek","2017-08-25"
"3 day",,,0,"John Wieczorek","2017-08-25"
"3 Days",,,0,"John Wieczorek","2017-08-25"
"3 days - bloody",,,0,"John Wieczorek","2017-08-25"
"3 days - started",,,0,"John Wieczorek","2017-08-25"
"3 days (1 unfertile)",,,0,"John Wieczorek","2017-08-25"
"3 days (very slight)",,,0,"John Wieczorek","2017-08-25"
"3 days advanced",,,0,"John Wieczorek","2017-08-25"
"3 days after complete set",,,0,"John Wieczorek","2017-08-25"
"3 days after set complete",,,0,"John Wieczorek","2017-08-25"
"3 days exactly",,,0,"John Wieczorek","2017-08-25"
"3 days in 2 Towhees + several of",,,0,"John Wieczorek","2017-08-25"
"3 Days Incubated",,,0,"John Wieczorek","2017-08-25"
"3 days incubated'",,,0,"John Wieczorek","2017-08-25"
"3 days incubated- nest held 2 eg",,,0,"John Wieczorek","2017-08-25"
"3 days incubated- nest held 2 eggs on the 10th",,,0,"John Wieczorek","2017-08-25"
"3 days old",,,0,"John Wieczorek","2017-08-25"
"3 days on 3rd egg",,,0,"John Wieczorek","2017-08-25"
"3 days on last egg",,,0,"John Wieczorek","2017-08-25"
"3 days on last egg.",,,0,"John Wieczorek","2017-08-25"
"3 days slight blood",,,0,"John Wieczorek","2017-08-25"
"3 days, 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 days.",,,0,"John Wieczorek","2017-08-25"
"3 days; a little blood",,,0,"John Wieczorek","2017-08-25"
"3 days; fresh when blown",,,0,"John Wieczorek","2017-08-25"
"3 eggs - fresh",,,0,"John Wieczorek","2017-08-25"
"3 eggs + 1 2.5 week old chick. 2",,,0,"John Wieczorek","2017-08-25"
"3 eggs + 1 2.5 week old chick. 2 eggs broken.",,,0,"John Wieczorek","2017-08-25"
"3 eggs + shells from hatched egg",,,0,"John Wieczorek","2017-08-25"
"3 eggs + shells from hatched egg - failed.",,,0,"John Wieczorek","2017-08-25"
"3 eggs about 1/2, 3 eggs inferti",,,0,"John Wieczorek","2017-08-25"
"3 eggs about 1/2, 3 eggs infertile",,,0,"John Wieczorek","2017-08-25"
"3 eggs advanced",,,0,"John Wieczorek","2017-08-25"
"3 eggs almost hatching - 1 egg y",,,0,"John Wieczorek","2017-08-25"
"3 eggs almost hatching - 1 egg yg. Formed and deco",,,0,"John Wieczorek","2017-08-25"
"3 eggs and two chicks. I fresh e",,,0,"John Wieczorek","2017-08-25"
"3 eggs and two chicks. I fresh egg taken",,,0,"John Wieczorek","2017-08-25"
"3 eggs- failed",,,0,"John Wieczorek","2017-08-25"
"3 eggs fresh",,,0,"John Wieczorek","2018-10-10"
"3 eggs fresh, 1 begun",,,0,"John Wieczorek","2017-08-25"
"3 eggs Fresh, 1 egg Trace of blo",,,0,"John Wieczorek","2017-08-25"
"3 eggs Fresh, 1 egg Trace of blood",,,0,"John Wieczorek","2017-08-25"
"3 eggs fresh/ 2 eggs about a wee",,,0,"John Wieczorek","2017-08-25"
"3 eggs fresh/ 2 eggs about a week",,,0,"John Wieczorek","2017-08-25"
"3 eggs fresh; 1 6-8 days",,,0,"John Wieczorek","2017-08-25"
"3 eggs fresh; 1 egg slightly set",,,0,"John Wieczorek","2017-08-25"
"3 eggs from 3 nests, all abnorma",,,0,"John Wieczorek","2017-08-25"
"3 eggs from 3 nests, all abnormal",,,0,"John Wieczorek","2017-08-25"
"3 eggs from a failed clutch of 4",,,0,"John Wieczorek","2017-08-25"
"3 eggs from a failed clutch of 4 in a nest box. 2 ",,,0,"John Wieczorek","2017-08-25"
"3 eggs in near April 22nd",,,0,"John Wieczorek","2017-08-25"
"3 eggs in nest on June 15th",,,0,"John Wieczorek","2017-08-25"
"3 eggs incubated",,,0,"John Wieczorek","2017-08-25"
"3 eggs incubated (young formed)",,,0,"John Wieczorek","2017-08-25"
"3 eggs incubated, 1 egg fresh",,,0,"John Wieczorek","2017-08-25"
"3 eggs incubated, 1 with large e",,,0,"John Wieczorek","2017-08-25"
"3 eggs large chicks, all started",,,0,"John Wieczorek","2017-08-25"
"3 eggs of Chipping Sparrow fresh",,,0,"John Wieczorek","2017-08-25"
"3 eggs on june 14",,,0,"John Wieczorek","2017-08-25"
"3 eggs one-half incubated, 1 ste",,,0,"John Wieczorek","2017-08-25"
"3 eggs ready to hatch",,,0,"John Wieczorek","2017-08-25"
"3 eggs slightly incubated, 1 fre",,,0,"John Wieczorek","2017-08-25"
"3 eggs slightly veined",,,0,"John Wieczorek","2017-08-25"
"3 eggs the chicks was started to",,,0,"John Wieczorek","2017-08-25"
"3 eggs the chicks was started to hatch, the 4th eg",,,0,"John Wieczorek","2017-08-25"
"3 eggs, 1 chick 5 weeks old.",,,0,"John Wieczorek","2017-08-25"
"3 eggs, no chicks (only 2 eggs a",,,0,"John Wieczorek","2017-08-25"
"3 eggs, no chicks (only 2 eggs arrived at WFVZ, 1 ",,,0,"John Wieczorek","2017-08-25"
"3 eggshell fragments",,,0,"John Wieczorek","2017-08-25"
"3 embryos",,,0,"David Bloom","2017-12-29"
"3 embryos visable; 1 large soft ",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs (1/3 contained a f",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs (1/3 contained a feathered embryo)",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs- dried & hollow.  ",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs- dried & hollow.  Female still incub",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs from a 22 year old",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs from a 22 year old female",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs- possiblt due to t",,,0,"John Wieczorek","2017-08-25"
"3 failed eggs- possiblt due to trapping Female 2 m",,,0,"John Wieczorek","2017-08-25"
"3 far advanced, 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 far advanced, 1 too far hatche",,,0,"John Wieczorek","2017-08-25"
"3 fledged and 1 egg unhatched",,,0,"John Wieczorek","2018-10-10"
"3 fr.  others begun",,,0,"John Wieczorek","2017-08-25"
"3 Fresh",,,0,"John Wieczorek","2017-08-25"
"3 Fresh ; 1 Advanced",,,0,"John Wieczorek","2017-08-25"
"3 fresh 2 advanced",,,0,"John Wieczorek","2017-08-25"
"3 Fresh 2 inc well begun",,,0,"John Wieczorek","2017-08-25"
"3 fresh 2 well begun",,,0,"John Wieczorek","2017-08-25"
"3 fresh 3 incubated",,,0,"John Wieczorek","2017-08-25"
"3 Fresh And One Begun",,,0,"John Wieczorek","2017-08-25"
"3 fresh one showing blood",,,0,"John Wieczorek","2017-08-25"
"3 fresh to a few incubated some ",,,0,"John Wieczorek","2017-08-25"
"3 fresh to a few incubated some days",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 5% incubated",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 about 2/3 advanced",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 addled",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 addled (left over fro",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 addled (left over from previous clutch ",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 begun",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 bloody",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 considerable",,,0,"John Wieczorek","2017-08-25"
"3 Fresh, 1 Embryo Formed",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 just started",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 showing blood",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 slight",,,0,"John Wieczorek","2017-08-25"
"3 Fresh, 1 Slight Trace Of Blood",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 started",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 trace of blood",,,0,"John Wieczorek","2017-08-25"
"3 Fresh, 1 Trace, 4 Very Sm. Emb",,,0,"John Wieczorek","2017-08-25"
"3 Fresh, 1 Trace, 4 Very Sm. Embryo",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 very sligh",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 very slight, 2 slight",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 1 well begun",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 advanced",,,0,"John Wieczorek","2017-08-25"
"3 Fresh, 2 blood tinged",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 commenced",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 showing blood",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 slight",,,0,"John Wieczorek","2017-08-25"
"3 Fresh, 2 Slight Trace Of Blood",,,0,"John Wieczorek","2017-08-25"
"3 Fresh, 2 Slight Trace, 1 Trace",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 slightly incubated",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 small embryos, 2 larg",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 started",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 trace of red",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 2 very slight",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 3 addled",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 3 showing blood",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 3 slight",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 3 started",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 4 advanced",,,0,"John Wieczorek","2017-08-25"
"3 fresh, 5 started",,,0,"John Wieczorek","2017-08-25"
"3 fresh, one addled",,,0,"John Wieczorek","2017-08-25"
"3 fresh. 3 a trace",,,0,"John Wieczorek","2017-08-25"
"3 fresh; 1 incubated 4 days",,,0,"John Wieczorek","2017-08-25"
"3 fresh; 1 showing blood",,,0,"John Wieczorek","2017-08-25"
"3 fresh; 1 slightly incubated",,,0,"John Wieczorek","2017-08-25"
"3 fresh; 1 started;",,,0,"John Wieczorek","2017-08-25"
"3 fresh; 1 three days",,,0,"John Wieczorek","2017-08-25"
"3 fresh; 2 begun",,,0,"John Wieczorek","2017-08-25"
"3 fresh; 2 commenced",,,0,"John Wieczorek","2017-08-25"
"3 Fresh; 2 Slightly",,,0,"John Wieczorek","2017-08-25"
"3 Fresh; 2 Started",,,0,"John Wieczorek","2017-08-25"
"3 Fresh; 3 Started",,,0,"John Wieczorek","2017-08-25"
"3 fresh; one egg addled and brok",,,0,"John Wieczorek","2017-08-25"
"3 fresh; one egg addled and broken",,,0,"John Wieczorek","2017-08-25"
"3 fresh;trace in other",,,0,"John Wieczorek","2017-08-25"
"3 Gull fresh, Duck rotted",,,0,"John Wieczorek","2017-08-25"
"3 half-grown nestlings; 1 infert",,,0,"John Wieczorek","2017-08-25"
"3 half-grown nestlings; 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 Hatched + 1 Addled",,,0,"John Wieczorek","2017-08-25"
"3 hatched in wild",,,0,"John Wieczorek","2017-08-25"
"3 hatched in wild; #1 fragments;",,,0,"John Wieczorek","2017-08-25"
"3 hatched in wild; #1 fragments; #2 fragements fro",,,0,"John Wieczorek","2017-08-25"
"3 hatched in wild; #1 fragments; #2 fragments from",,,0,"John Wieczorek","2017-08-25"
"3 hatched in wild; fragments",,,0,"John Wieczorek","2017-08-25"
"3 hatched, 6 broken",,,0,"John Wieczorek","2017-08-25"
"3 hatched, 9 broken",,,0,"John Wieczorek","2017-08-25"
"3 hatched, 9 broken (3 developed",,,0,"John Wieczorek","2017-08-25"
"3 hatched, 9 broken (3 developed)",,,0,"John Wieczorek","2017-08-25"
"3 hatched, 9 broken (developed)",,,0,"John Wieczorek","2017-08-25"
"3 hatched, 9 broken(developed)",,,0,"John Wieczorek","2017-08-25"
"3 hatched, one pipping",,,0,"John Wieczorek","2017-08-25"
"3 heavy, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 host incubated",,,0,"John Wieczorek","2017-08-25"
"3 infert.; 1 one-third",,,0,"John Wieczorek","2017-08-25"
"3 infert.; 3 one-third inc.",,,0,"John Wieczorek","2017-08-25"
"3 infertile 5 heavy",,,0,"John Wieczorek","2017-08-25"
"3 infertile, 1- incubated 1/4",,,0,"John Wieczorek","2017-08-25"
"3 infertile, 1 young bird about ",,,0,"John Wieczorek","2017-08-25"
"3 infertile, 2 well adv.",,,0,"John Wieczorek","2017-08-25"
"3 infertile, 2 with incubation f",,,0,"John Wieczorek","2017-08-25"
"3 infertile, 2 with incubation far advanced",,,0,"John Wieczorek","2017-08-25"
"3 infertile, 2: 5 days",,,0,"John Wieczorek","2017-08-25"
"3 infertile, 7 soft embryos",,,0,"John Wieczorek","2017-08-25"
"3 just begun, 2 fresh",,,0,"John Wieczorek","2017-08-25"
"3 juv",,,0,"John Wieczorek","2017-08-25"
"3 JUVENILE, 1 ADULT",,,0,"John Wieczorek","2017-08-25"
"3 JUVENILE; 1 ADULT",,,0,"John Wieczorek","2017-08-25"
"3 JUVENILE; 2 ADULT",,,0,"John Wieczorek","2017-08-25"
"3 JUVENILE; 3 ADULT",,,0,"John Wieczorek","2017-08-25"
"3 JUVENILE; 5 ADULT",,,0,"John Wieczorek","2017-08-25"
"3 juveniles",,,0,"John Wieczorek","2017-08-25"
"3 K",,,0,"John Wieczorek","2017-08-25"
"3 large embryo, 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 large embryos",,,0,"John Wieczorek","2017-08-25"
"3 large embryos (eggs saved), 1 ",,,0,"John Wieczorek","2017-08-25"
"3 large embryos ; abandoned",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, 1 medium embryo",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, 1 no developmen",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, 1 no development",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, 1 small embryo",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, runt was infert",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, runt was infertile, the contents ",,,0,"John Wieczorek","2017-08-25"
"3 large embryos, within 1-2 days",,,0,"John Wieczorek","2017-08-25"
"3 large embryos; abandoned",,,0,"John Wieczorek","2017-08-25"
"3 larva",,,0,"John Wieczorek","2017-08-25"
"3 larvae",,,0,"John Wieczorek","2017-08-25"
"3 Male Eyases Produced",,,0,"John Wieczorek","2017-08-25"
"3 mature, 5 immature, 2 larvae",,,0,"John Wieczorek","2017-08-25"
"3 medium",,,0,"John Wieczorek","2017-08-25"
"3 mo.",,,0,"John Wieczorek","2017-08-25"
"3 mo. old",,,0,"John Wieczorek","2017-08-25"
"3 mo., 3 wks.",,,0,"John Wieczorek","2017-08-25"
"3 moderate embryos, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 moderate, 2 infertile",,,0,"John Wieczorek","2017-08-25"
"3 months",,,0,"John Wieczorek","2017-08-25"
"3 months 20 days",,,0,"John Wieczorek","2017-08-25"
"3 months 23 days",,,0,"John Wieczorek","2017-08-25"
"3 months, 13 days",,,0,"John Wieczorek","2017-08-25"
"3 months; juv.",,,1,"David Bloom","2018-06-13"
"3 mos",,,1,"David Bloom","2018-06-13"
"3 mos approx.",,,0,"John Wieczorek","2017-08-25"
"3 Nestlings Fledged",,,0,"John Wieczorek","2017-08-25"
"3 Newly Hatched + 1 Addled Eggs",,,0,"John Wieczorek","2017-08-25"
"3 none, 1 blood",,,0,"John Wieczorek","2017-08-25"
"3 not recorded, 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 of 4 young fledged",,,0,"John Wieczorek","2018-10-10"
"3 of Chat eggs much incubated, C",,,0,"John Wieczorek","2017-08-25"
"3 of Chat eggs much incubated, Cuckoo egg slightly",,,0,"John Wieczorek","2017-08-25"
"3 of host + cowbird slight, 1 ad",,,0,"John Wieczorek","2017-08-25"
"3 of host + cowbird slight, 1 ho",,,0,"John Wieczorek","2017-08-25"
"3 of the eggs were in the nest o",,,0,"John Wieczorek","2017-08-25"
"3 one half, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 Or 4 Days",,,0,"John Wieczorek","2017-08-25"
"3 or 4 days, advanced",,,0,"John Wieczorek","2017-08-25"
"3 or 4 days.",,,0,"John Wieczorek","2017-08-25"
"3 or 4 days-well begun",,,0,"John Wieczorek","2017-08-25"
"3 or 6 days",,,0,"John Wieczorek","2017-08-25"
"3 partial, 4 advanced",,,0,"John Wieczorek","2017-08-25"
"3 partly incubated, 2 perfectly ",,,0,"John Wieczorek","2017-08-25"
"3 partly incubated, 2 perfectly fresh",,,0,"John Wieczorek","2017-08-25"
"3 pequeno embrios- 2 frescos",,,0,"John Wieczorek","2017-08-25"
"3 quarters through",,,0,"John Wieczorek","2017-08-25"
"3 ready to hatch",,,0,"John Wieczorek","2017-08-25"
"3 ready to hatch, 1 fresh--proba",,,0,"John Wieczorek","2017-08-25"
"3 rotten on ewell on.",,,0,"John Wieczorek","2017-08-25"
"3 rotten, 1 large embryo",,,0,"John Wieczorek","2017-08-25"
"3 samples; 1st layer, ""2003 frag",,,0,"John Wieczorek","2017-08-25"
"3 samples; 1st layer, ""2003 fragments""; 2nd layer,",,,0,"John Wieczorek","2017-08-25"
"3 samples; 2nd layer, broken; 3r",,,0,"John Wieczorek","2017-08-25"
"3 samples; 2nd layer, broken; 3rd layer, fragments",,,0,"John Wieczorek","2017-08-25"
"3 sets fo fragments from ground ",,,0,"John Wieczorek","2017-08-25"
"3 sets fo fragments from ground below nest",,,0,"John Wieczorek","2017-08-25"
"3 sets of fragments collected (1",,,0,"John Wieczorek","2017-08-25"
"3 sets of fragments collected (1995, 1996 &1997); ",,,0,"John Wieczorek","2017-08-25"
"3 Showing Blood",,,0,"John Wieczorek","2017-08-25"
"3 showing blood, 1 small embryo",,,0,"John Wieczorek","2017-08-25"
"3 showing, 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 showing, one fresh",,,0,"John Wieczorek","2017-08-25"
"3 slight , 1 fresh",,,0,"John Wieczorek","2017-08-25"
"3 slight, 1 fresh or infertile",,,0,"John Wieczorek","2017-08-25"
"3 slight, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"3 slight, 2 fresh",,,0,"John Wieczorek","2017-08-25"
