Waterbody	IslandGroup	Island
Northern Pacific Ocean	Coronados	Coronado Norte
Northern Pacific Ocean	Coronados	Coronado Sur
Northern Pacific Ocean	Coronados	Pilón de Azúcar
Northern Pacific Ocean	Enewetak Atoll	Jinimi
Northern Pacific Ocean	Enewetak Atoll	Parry
Northern Pacific Ocean	Farallon Islands	Southeast Farallon
Northern Pacific Ocean	Farallon Islands	Southeast Farallon Islands
Northern Pacific Ocean	Fox Islands	Akatun
Northern Pacific Ocean	Fox Islands	Akun
Northern Pacific Ocean	Fox Islands	Akutan
Northern Pacific Ocean	Fox Islands	Bogoslof
Northern Pacific Ocean	Fox Islands	Egg & Sedanka Islands
Northern Pacific Ocean	Fox Islands	Sanak
Northern Pacific Ocean	Fox Islands	Umnak
Northern Pacific Ocean	Fox Islands	Unalaska
Northern Pacific Ocean	French Frigate Shoals	East Island
Northern Pacific Ocean	French Frigate Shoals	Little Gin
Northern Pacific Ocean	French Frigate Shoals	Tern
Northern Pacific Ocean	Gavanski Islands	Gavanski
Northern Pacific Ocean	Gravina Islands	Annette
Northern Pacific Ocean	Haida Gwaii	Charlotte
Northern Pacific Ocean	Haida Gwaii	Chatham
Northern Pacific Ocean	Haida Gwaii	Cox
Northern Pacific Ocean	Haida Gwaii	Coxes
Northern Pacific Ocean	Haida Gwaii	Cumshewa
Northern Pacific Ocean	Haida Gwaii	East Copper
Northern Pacific Ocean	Haida Gwaii	Flowery Islet
Northern Pacific Ocean	Haida Gwaii	Frederick
Northern Pacific Ocean	Haida Gwaii	George
Northern Pacific Ocean	Haida Gwaii	Graham
Northern Pacific Ocean	Haida Gwaii	Green
Northern Pacific Ocean	Haida Gwaii	Gribbell
Northern Pacific Ocean	Haida Gwaii	Harrison
Northern Pacific Ocean	Haida Gwaii	Hibben
Northern Pacific Ocean	Haida Gwaii	Hippa
Northern Pacific Ocean	Haida Gwaii	Hotspring
Northern Pacific Ocean	Haida Gwaii	Kingsway Rock
Northern Pacific Ocean	Haida Gwaii	Kunga
Northern Pacific Ocean	Haida Gwaii	Kunghit
Northern Pacific Ocean	Haida Gwaii	Langara
Northern Pacific Ocean	Haida Gwaii	Legace
Northern Pacific Ocean	Haida Gwaii	Lina
Northern Pacific Ocean	Haida Gwaii	Lost
Northern Pacific Ocean	Haida Gwaii	Louise
Northern Pacific Ocean	Haida Gwaii	Lyell
Northern Pacific Ocean	Haida Gwaii	Mackenzie
Northern Pacific Ocean	Haida Gwaii	McCreight
Northern Pacific Ocean	Haida Gwaii	Moresby
Northern Pacific Ocean	Haida Gwaii	Morseby
Northern Pacific Ocean	Haida Gwaii	North
Northern Pacific Ocean	Haida Gwaii	Ogilvie
Northern Pacific Ocean	Haida Gwaii	Ramsay
Northern Pacific Ocean	Haida Gwaii	Rankine
Northern Pacific Ocean	Haida Gwaii	Reef
Northern Pacific Ocean	Haida Gwaii	Ross
Northern Pacific Ocean	Haida Gwaii	Saint James
Northern Pacific Ocean	Haida Gwaii	Shag Rock
Northern Pacific Ocean	Haida Gwaii	Talunkwan
Northern Pacific Ocean	Haida Gwaii	Tanu
Northern Pacific Ocean	Haida Gwaii	Tar
Northern Pacific Ocean	Haida Gwaii	Wathus
Northern Pacific Ocean	Hall Islands	Nomwin Atoll
Northern Pacific Ocean	Hawaiian Islands	East Island
Northern Pacific Ocean	Hawaiian Islands	Hawaii
Northern Pacific Ocean	Hawaiian Islands	Kahoolawe
Northern Pacific Ocean	Hawaiian Islands	Kauai
Northern Pacific Ocean	Hawaiian Islands	Ka'ula Rock
Northern Pacific Ocean	Hawaiian Islands	Lanai
Northern Pacific Ocean	Hawaiian Islands	Lehua
Northern Pacific Ocean	Hawaiian Islands	Mānana
Northern Pacific Ocean	Hawaiian Islands	Maui
Northern Pacific Ocean	Hawaiian Islands	Molokai
Northern Pacific Ocean	Hawaiian Islands	Molokini
Northern Pacific Ocean	Hawaiian Islands	Na Mokulua
Northern Pacific Ocean	Hawaiian Islands	Niihau
Northern Pacific Ocean	Hawaiian Islands	Oahu
Northern Pacific Ocean	Hawaiian Islands	Sand
Northern Pacific Ocean	Inian Islands	Inian
Northern Pacific Ocean	Islands of Four Mountains	Chagulak
Northern Pacific Ocean	Islands of Four Mountains	Chuginadak
Northern Pacific Ocean	Islands of Four Mountains	Kagamil
Northern Pacific Ocean	Islands of Four Mountains	Yunaska
Northern Pacific Ocean	Islas de Todos Santos	Todos Santos
Northern Pacific Ocean	Islas Magdalenas	Grosse
Northern Pacific Ocean	Islas Marías	Maria Cleofas
Northern Pacific Ocean	Islas Marías	María Cleofas
Northern Pacific Ocean	Islas Marías	María Madre
Northern Pacific Ocean	Islas Marías	María Magdalena
Northern Pacific Ocean	Islas Marías	San Juanito
Northern Pacific Ocean	Islas Revillagigedo	Clarion
Northern Pacific Ocean	Islas Revillagigedo	Clarión
Northern Pacific Ocean	Islas Revillagigedo	Roca Partida
Northern Pacific Ocean	Islas Revillagigedo	San Benedicto
Northern Pacific Ocean	Islas Revillagigedo	Socorro
Northern Pacific Ocean	Islas San Benito	Benito del Centro
Northern Pacific Ocean	Islas San Benito	Benito del Oeste
Northern Pacific Ocean	Japanese Archipelago	Honshu
Northern Pacific Ocean	Johnston Atoll	East Island
Northern Pacific Ocean	Johnston Atoll	Johnston
Northern Pacific Ocean	Johnston Atoll	North Island
Northern Pacific Ocean	Johnston Atoll	Sand
Northern Pacific Ocean	Kodiak Archipelago	Whale
Northern Pacific Ocean	Krenitzin Islands	Aiktak
Northern Pacific Ocean	Krenitzin Islands	Avatanak
Northern Pacific Ocean	Krenitzin Islands	Tigalda
Northern Pacific Ocean	Krenitzin Islands	Ugamak
Northern Pacific Ocean	Kure Atoll	Green Island
Northern Pacific Ocean	Line Islands	Christmas
Northern Pacific Ocean	Line Islands	Fanning
Northern Pacific Ocean	Line Islands	Kingman Reef
Northern Pacific Ocean	Line Islands	Kiritimati Atoll
Northern Pacific Ocean	Line Islands	Palmyra Atoll
Northern Pacific Ocean	Line Islands	Teraina
Northern Pacific Ocean	Marble Islands	Marble
Northern Pacific Ocean	Marble Islands	South Marble
Northern Pacific Ocean	Marianas	Guam
Northern Pacific Ocean	Marianas	Maug
Northern Pacific Ocean	Marianas	Saipan
Northern Pacific Ocean	Marianas	Tinian
Northern Pacific Ocean	Marianas	Verrados
Northern Pacific Ocean	Marshall Islands	Ailinglaplap Atoll
Northern Pacific Ocean	Marshall Islands	Arno Atoll
Northern Pacific Ocean	Marshall Islands	Kio
Northern Pacific Ocean	Midway Atoll	Eastern Island
Northern Pacific Ocean	Midway Atoll	Midway
Northern Pacific Ocean	Midway Atoll	Sand
Northern Pacific Ocean	Near Islands	Agattu
Northern Pacific Ocean	Near Islands	Attu
Northern Pacific Ocean	Nomoi Islands	Satawan Atoll
Northern Pacific Ocean	Northwestern Hawaiian Islands	Gardner Pinnacles
Northern Pacific Ocean	Northwestern Hawaiian Islands	Kure Atoll
Northern Pacific Ocean	Northwestern Hawaiian Islands	La Perouse Pinnacle
Northern Pacific Ocean	Northwestern Hawaiian Islands	Ladd Bank
Northern Pacific Ocean	Northwestern Hawaiian Islands	Laysan
Northern Pacific Ocean	Northwestern Hawaiian Islands	Lisianski
Northern Pacific Ocean	Northwestern Hawaiian Islands	Maro Reef
Northern Pacific Ocean	Northwestern Hawaiian Islands	Necker
Northern Pacific Ocean	Northwestern Hawaiian Islands	Nero Bank
Northern Pacific Ocean	Northwestern Hawaiian Islands	Nihoa
Northern Pacific Ocean	Northwestern Hawaiian Islands	Pearl And Hermes Reef
Northern Pacific Ocean	Northwestern Hawaiian Islands	St. Rogatien Bank
Northern Pacific Ocean	Phoenix Islands	Baker
Northern Pacific Ocean	Phoenix Islands	Howland
Northern Pacific Ocean	Ralik Chain	Enewetak Atoll
Northern Pacific Ocean	Rat Islands	Amchitka
Northern Pacific Ocean	Rat Islands	Kiska
Northern Pacific Ocean	Rat Islands	Little Kiska
Northern Pacific Ocean	Rat Islands	Segula
Northern Pacific Ocean	Scott Islands	Lanz
Northern Pacific Ocean	Senyavin Islands	Pohnpei
Northern Pacific Ocean	Shumagin Islands	Big Koninski
Northern Pacific Ocean	Shumagin Islands	Big Koniuji
Northern Pacific Ocean	Shumagin Islands	Dolgoi
Northern Pacific Ocean	Shumagin Islands	Nagai
Northern Pacific Ocean	Shumagin Islands	Popof
Northern Pacific Ocean	Shumagin Islands	Unga
Northern Pacific Ocean	South Farallon Islands	South Farallon
Northern Pacific Ocean	Tatoosh Islands	Tatoosh
Northwest Passages		Jenny Lind
Norton Sound		Besboro
Norton Sound		Saint Michael
Norwegian Sea	Faroe Islands	Suðuroy
Nuka Bay		Nuka
Okefenokee Swamp		Chesser
Okefenokee Swamp		Floyds
Orca Inlet		Spike
Pacific Ocean		Gorgona
Pacific Ocean		Isla de la Plata
Pacific Ocean	Galápagos	Baltra
Pacific Ocean	Galápagos	Barrington
Pacific Ocean	Galápagos	Bartolomé
Pacific Ocean	Galápagos	Corona del Diablo
Pacific Ocean	Galápagos	Daphne Mayor
Pacific Ocean	Galápagos	Darwin
Pacific Ocean	Galápagos	Española
Pacific Ocean	Galápagos	Fernandina
Pacific Ocean	Galápagos	Floreana
Pacific Ocean	Galápagos	Genovesa
Pacific Ocean	Galápagos	Guy Fawkes
Pacific Ocean	Galápagos	Isabela
Pacific Ocean	Galápagos	Marchena
Pacific Ocean	Galápagos	Pinta
Pacific Ocean	Galápagos	Pinzón
Pacific Ocean	Galápagos	Plaza Norte
Pacific Ocean	Galápagos	Plaza Sur
Pacific Ocean	Galápagos	Rábida
Pacific Ocean	Galápagos	San Cristóbal
Pacific Ocean	Galápagos	Santa Cruz
Pacific Ocean	Galápagos	Santa Fe
Pacific Ocean	Galápagos	Santa Fé
Pacific Ocean	Galápagos	Santiago
Pacific Ocean	Galápagos	Seymour
Pacific Ocean	Galápagos	Seymour Norte
Pacific Ocean	Galápagos	Wolf
Pacific Ocean	Japanese Archipelago	Honshu
Pacific Ocean	Japanese Archipelago	Shikoku
Pacific Ocean	Loyalty Islands	Maré
Pamlico Sound		Judith
Payer's Harbor	Canadian Arctic Archipelago	Brevoort
Penobscot Bay		Great Spruce Head
Penobscot Bay		Isle au Haut
Persian Gulf		Qatar
Pittwater		Scotland
Placentia Bay		Red
Portage Bay	Shumagin Islands	Popof
Possession Bay	South Georgia Islands	South Georgia
Possession Sound		Camano
Potomac River		Cobb
Potomac River		Plummers
Prince William Sound		Applegate
Prince William Sound		Bainbridge
Prince William Sound		Bligh
Prince William Sound		Crafton
Prince William Sound		Disk
Prince William Sound		Eleanor
Prince William Sound		Esther
Prince William Sound		Ingot
Prince William Sound		Knight
Prince William Sound		Little Smith
Prince William Sound		Perry
Prince William Sound		Seal
Prince William Sound	Knight Island	Snag
Puget  Sound		Squaxin
Puget Sound		Anderson
Puget Sound		Bainbridge
Puget Sound		Fox Island
Puget Sound		Harbor
Puget Sound		Indian
Puget Sound		Marrowstone
Puget Sound		Maury
Puget Sound		Vashon
Puget Sound		Whidbey
Puget Sound	San Juan Islands	Lummi
Pyramid Lake		Anaho
Quatsino Sound		Vancouver
Queen Charlotte Sound		Hunter
Queen Charlotte Sound		Spider
Queen Charlotte Sound		Table
Queen Charlotte Sound	Bardswell Group	Dufferin
Queen Charlotte Sound	Bardswell Group	Wurtele
Queen Charlotte Strait		Nigei
Queen Maud Gulf		Jenny Lind
Queen Maud Gulf		Perry
Red Sea		Gezira Tawila
Rehoboth Bay		Piney
Riddell's Bay	Bermuda	Main Island
Río Ebro		Isla de Buda
Río Grande	Archipiélago de Chiloé	Isla Grande de Chiloé
Río Hanabana		Cuba
Río Huelde	Archipiélago de Chiloé	Isla Grande de Chiloé
Río Magdalena		Isla de Salamanca
Río Maricao	Greater Antilles	Puerto Rico
Río Ochos	Greater Antilles	Jamaica
Río Ozama	Greater Antilles	Hispaniola
Río Yaque del Sur	Greater Antilles	Hispaniola
Río Yaque del Sur, Lago Enriquillo	Greater Antilles	Hispaniola
Río Yuna	Greater Antilles	Hispaniola
Rockaway Inlet		Long Island
Rosario Strait	San Juan Islands	Bird Rocks
Ross Sea	Ross Archipelago	Beaufort
Ross Sea	Ross Archipelago	Ross
Sabine Lake		Pleasure
Saco Bay		Stratton
Saco Bay		Stratton Island
Sacramento River		Tyler
Sacramento River		Van Sickle
Sacramento-San Joaquin River Delta		Andrus
Sacramento-San Joaquin River Delta		Bacon
Sacramento-San Joaquin River Delta		Bradford
Sacramento-San Joaquin River Delta		Venice
Saginaw Bay		Charity
Saginaw Bay		Lone Tree
Saint Lawrence River		Anticosti
Saint Lawrence River		Belle Island
Saint Lawrence River		Douglas
Saint Lawrence River		Florence Island
Saint Lawrence River		Harbor Island
Saint Lawrence River		Île d'Orleans
Saint Lawrence River		Ironsides Island
Saint Lawrence River		Iroquois Island
Saint Lawrence River		Kipp Island
Saint Lawrence River		Orleans
Saint Lawrence River		Welcome Island
Saint Lawrence River		Wellesley Island
Saint Lawrence River		Whiskey Island
Saint Lawrence River	Hochelaga Archipelago	Île Perot
Saint Lawrence River	Hochelaga Archipelago	Montréal
Saint Lawrence River	Isle-aux-Grues	Ile-aux-Grues
Salish Sea		Buck
Salish Sea		Camano
Salish Sea		Cypress
Salish Sea		Fir
Salish Sea		Guemes
Salish Sea		Harstene
Salish Sea		Hope
Salish Sea		Mercer
Salish Sea		Protection
Salish Sea		Reef
Salish Sea		Samish
Salish Sea		Sinclair
Salish Sea		Smith
Salish Sea		Viti Rocks
Salish Sea	San Juan Islands	Bare
Salish Sea	San Juan Islands	Colville
Salish Sea	San Juan Islands	Flattop
Salish Sea	San Juan Islands	Flower
Salish Sea	San Juan Islands	Goose
Salish Sea	San Juan Islands	Gull Rock
Salish Sea	San Juan Islands	Johns
Salish Sea	San Juan Islands	Low
Salish Sea	San Juan Islands	San Juan
Salish Sea	San Juan Islands	Sentinel
Salish Sea	San Juan Islands	Skipjack
Salish Sea	San Juan Islands	Stuart
Salish Sea	San Juan Islands	Sucia
Salton Sea		Bird
Salton Sea		Echo
Salton Sea		Pelican
Samish Bay		Samish
San Francisco Bay		Bay Farm
San Francisco Bay		Sheep
San Francisco Bay	San Francisco Bay Islands	Alcatraz
San Francisco Bay	San Francisco Bay Islands	Angel
San Francisco Bay	San Francisco Bay Islands	Bay Farm
San Francisco Bay	San Francisco Bay Islands	Government
San Francisco Bay	San Francisco Bay Islands	Treasure
San Francisco Bay	San Francisco Bay Islands	Yerba Buena
San Joaquin River delta		Grizzly
San Joaquin River delta		Jersey
San Joaquin River delta		Joyce
San Joaquin River delta		Quimby
San Joaquin River delta		Ryer
San Joaquin River delta		Victoria
San Joaquin River delta		Wheeler
San Joaquin River delta		Woodward
Sea of Okhotsk	Eugénie Archipelago	Karamzina
Sea of Okhotsk	Eugénie Archipelago	Reyneke
Sea of Okhotsk	Shantar Islands	Bolshoy Shantar
Sermo River	Malay Archipelago	Papua
Shark Bay		Bernier
Shark Bay		Dorre
Sheepscot River		Indiantown
Shelikof Strait	Kodiak Archipelago	Kodiak
Shelkikof Strait	Kodiak Archipelago	Kodiak
Shelter Island Sound		Shelter
Shinnecock Bay		Long Island
Sitka Sound		Kutkan
Sitka Sound		Stewart
Smith Sound		Littleton
Snake River		Nielson
Snake River		Penawawa
Snohomish River		Spencer
Somes Sound		Bar
South China Sea		Besar
South China Sea		Tioman
South China Sea	Greater Sunda Islands	Borneo
South China Sea	Greater Sunda Islands	Java
South China Sea	Greater Sunda Islands	Labuan
South China Sea	Greater Sunda Islands	Muara
South Pacific Ocean	Cook Islands	Atiu
South Pacific Ocean	Cook Islands	Rarotonga
South Pacific Ocean	Tongatapu Group	`Eua
Southern Atlantic Ocean		Ascencion
Southern Atlantic Ocean		Ascension
Southern Atlantic Ocean		Isla de Lobos
Southern Atlantic Ocean		Saint Helana
Southern Atlantic Ocean		Saint Helena
Southern Atlantic Ocean		Shark Island
Southern Atlantic Ocean	Arquipélago de Trindade e Martim Vaz	Trindade
Southern Atlantic Ocean	Arquipélago Fernando de Noronha	Booby
Southern Atlantic Ocean	Arquipélago Trindade e Martim Vaz	Trindade
Southern Atlantic Ocean	Falkland Islands	Coffin
Southern Atlantic Ocean	Falkland Islands	East Falkland
Southern Atlantic Ocean	Falkland Islands	Kidney
Southern Atlantic Ocean	Falkland Islands	New
Southern Atlantic Ocean	Falkland Islands	Pebble
Southern Atlantic Ocean	Falkland Islands	Saunders
Southern Atlantic Ocean	Falkland Islands	South Jason
Southern Atlantic Ocean	Falkland Islands	Weddell
Southern Atlantic Ocean	Falkland Islands	West Falkland
Southern Atlantic Ocean	Ilhabela	São Sebastião
Southern Atlantic Ocean	Jason Islands	Steeple Jason
Southern Atlantic Ocean	South Georgia Islands	Annenkov
Southern Atlantic Ocean	South Georgia Islands	Bird Island
Southern Atlantic Ocean	South Georgia Islands	South Georgia
Southern Atlantic Ocean	Tristan da Cunha	Gough
Southern Atlantic Ocean	Tristan da Cunha Islands	Gough
Southern Atlantic Ocean	Tristan da Cunha Islands	Inaccessible Island
Southern Atlantic Ocean	Tristan da Cunha Islands	Inacessible Island
Southern Atlantic Ocean	Tristan da Cunha Islands	Nightingale
Southern Ocean		Petermann Island
Southern Ocean		Seymour
Southern Ocean	Archipel des Kerguelen	Kerguelen
Southern Ocean	Îles Crozet	Île de la Possession
Southern Ocean	Palmer Archipelago	Anvers
Southern Ocean	Palmer Archipelago	Cormorant
Southern Ocean	Palmer Archipelago	Dream
Southern Ocean	Palmer Archipelago	Humble
Southern Ocean	Palmer Archipelago	Shortcut
Southern Ocean	Palmer Archipelago	Trinity
Southern Ocean	Palmer Archipelago	Wiencke
Southern Ocean	South Orkney Islands	Coronation
Southern Ocean	South Orkney Islands	Laurie
Southern Ocean	South Orkney Islands	Signey
Southern Ocean	South Orkney Islands	Signy
Southern Ocean	South Orkney Islands	South Orkney
Southern Ocean	South Shetland Islands	Aspland
Southern Ocean	South Shetland Islands	Deception
Southern Ocean	South Shetland Islands	Elephant
Southern Ocean	South Shetland Islands	Greenwich
Southern Ocean	South Shetland Islands	King George
Southern Ocean	South Shetland Islands	Livingston
Southern Ocean	South Shetland Islands	Nelson
Southern Ocean	South Shetland Islands	Roberts
Southern Ocean	South Shetland Islands	Smith
Southern Ocean	South Shetland Islands	South Shetland
Southern Pacific Ocean		Asia
Southern Pacific Ocean		Broughton
Southern Pacific Ocean		Isla de Pascua
Southern Pacific Ocean		Islet S of Noumea
Southern Pacific Ocean		Lobos de Tierra
Southern Pacific Ocean		Macquarie
Southern Pacific Ocean		Malpelo
Southern Pacific Ocean		Mocha
Southern Pacific Ocean		Nauru
Southern Pacific Ocean		New Guinea
Southern Pacific Ocean		Niue
Southern Pacific Ocean		Norfolk
Southern Pacific Ocean		North Island
Southern Pacific Ocean		San Gallán
Southern Pacific Ocean		South Island
Southern Pacific Ocean		Tasmania
Southern Pacific Ocean	Admiralty Islands	Manus
Southern Pacific Ocean	Aleipata Islands	Nu'ulua
Southern Pacific Ocean	Archipiélago de Chiloé	Isla Grande de Chiloé
Southern Pacific Ocean	Archipiélago de Tierra del Fuego	Isla de Hornos
Southern Pacific Ocean	Archipiélago de Tierra del Fuego	Navarino
Southern Pacific Ocean	Chatham Islands	Chatham
Southern Pacific Ocean	Chatham Islands	Star Keys
Southern Pacific Ocean	Chincha	Central
Southern Pacific Ocean	Chincha	Norte Chincha
Southern Pacific Ocean	Cook Islands	Mangaia
Southern Pacific Ocean	Cook Islands	Penrhyn Atoll
Southern Pacific Ocean	Cook Islands	Suwarrow
Southern Pacific Ocean	D'Entrecasteaux Islands	Fergusson
Southern Pacific Ocean	Great Barrier Reef	Bett Reef
Southern Pacific Ocean	Great Barrier Reef	Endeavour Reef
Southern Pacific Ocean	Great Barrier Reef	Flynn Reef
Southern Pacific Ocean	Great Barrier Reef	Great Barrier Reef
Southern Pacific Ocean	Great Barrier Reef	Green
Southern Pacific Ocean	Great Barrier Reef	Heron
Southern Pacific Ocean	Great Barrier Reef	Hook
Southern Pacific Ocean	Great Barrier Reef	Linnet Reef
Southern Pacific Ocean	Great Barrier Reef	Lizard
Southern Pacific Ocean	Great Barrier Reef	Low Isles
Southern Pacific Ocean	Great Barrier Reef	Michaelmas Cay
Southern Pacific Ocean	Great Barrier Reef	One Tree
Southern Pacific Ocean	Great Barrier Reef	Pixie Reef
Southern Pacific Ocean	Great Barrier Reef	Wistari Reef
Southern Pacific Ocean	Great Barrier Reef	Yonge Reef
Southern Pacific Ocean	Hoorn Islands	Futuna
Southern Pacific Ocean	Islas de los Desventurados	San Félix
Southern Pacific Ocean	Kadavu Group	Kadavu
Southern Pacific Ocean	Lau Archipelago	Ono-i-Lau
Southern Pacific Ocean	Lau Archipelago	Tavunasithi
Southern Pacific Ocean	Lau Archipelago	Wangava
Southern Pacific Ocean	Lau Islands	Vatoa
Southern Pacific Ocean	Line Islands	Caroline Atoll
Southern Pacific Ocean	Line Islands	Jarvis
Southern Pacific Ocean	Line Islands	Malden
Southern Pacific Ocean	Line Islands	Starbuck
Southern Pacific Ocean	Lomaiviti Archipelago	Koro
Southern Pacific Ocean	Lomaiviti Archipelago	Ovalau
Southern Pacific Ocean	Loyalty Islands	Lifou
Southern Pacific Ocean	Loyalty Islands	Mare
Southern Pacific Ocean	Loyalty Islands	Ouvéa
Southern Pacific Ocean	Malay Archipelago	New Guinea
Southern Pacific Ocean	Mamanuca Islands	Kadavulailai
Southern Pacific Ocean	Mamanuca Islands	Yanuya
Southern Pacific Ocean	Manu'a Islands	Ofu
Southern Pacific Ocean	Manu'a Islands	Ta'u
Southern Pacific Ocean	Marquesas Islands	Clark Bank
Southern Pacific Ocean	Marquesas Islands	Eiao
Southern Pacific Ocean	Marquesas Islands	Fatuhiva
Southern Pacific Ocean	Marquesas Islands	Hatutaa
Southern Pacific Ocean	Marquesas Islands	Hivaoa
Southern Pacific Ocean	Marquesas Islands	Marquesas Islands
Southern Pacific Ocean	Marquesas Islands	Nukuhiva
Southern Pacific Ocean	Marquesas Islands	Tahuata Island
Southern Pacific Ocean	Marquesas Islands	Ua Huka
Southern Pacific Ocean	Marquesas Islands	Ua Pau
Southern Pacific Ocean	Marquesas Islands	Uahuka
Southern Pacific Ocean	Marquesas Islands	Uapou
Southern Pacific Ocean	Moala Islands	Moala
Southern Pacific Ocean	New Caledonia	Balabio
Southern Pacific Ocean	New Caledonia	Grand Terre
Southern Pacific Ocean	New Caledonia	Neba
Southern Pacific Ocean	New Georgia Islands	New Georgia
Southern Pacific Ocean	New Zealand	South Island
Southern Pacific Ocean	Nggela Islands	Little Florida Island
Southern Pacific Ocean	Nggela Islands	Nggela Sule
Southern Pacific Ocean	Northern Lau Islands	Mago
Southern Pacific Ocean	Paumotus	Henderson
Southern Pacific Ocean	Phoenix Islands	Birnie
Southern Pacific Ocean	Phoenix Islands	Kanton
Southern Pacific Ocean	Phoenix Islands	Orona
Southern Pacific Ocean	Pitcairn Islands	Ducie
Southern Pacific Ocean	Pitcairn Islands	Henderson
Southern Pacific Ocean	Pitcairn Islands	Oeno
Southern Pacific Ocean	Pitcairn Islands	Pitcairn
Southern Pacific Ocean	Rennell Islands	Rennell
Southern Pacific Ocean	Ringgold Isles	Nanuku Levu
Southern Pacific Ocean	Rotuma Group	Rotuma
Southern Pacific Ocean	Russell Islands	Hoi
Southern Pacific Ocean	Samoan Islands	Aunu'u
Southern Pacific Ocean	Samoan Islands	Nu'ulua
Southern Pacific Ocean	Samoan Islands	Rose Atoll
Southern Pacific Ocean	Samoan Islands	Savai'i
Southern Pacific Ocean	Samoan Islands	Swains
Southern Pacific Ocean	Samoan Islands	Ta‘ū
Southern Pacific Ocean	Samoan Islands	Tutuila
Southern Pacific Ocean	Samoan Islands	Upolu
Southern Pacific Ocean	Santa Cruz Islands	Vanikoro
Southern Pacific Ocean	Shortland Islands	Fauro
Southern Pacific Ocean	Solomon Islands	Bougainville
Southern Pacific Ocean	Solomon Islands	Choiseul
Southern Pacific Ocean	Solomon Islands	Guadalcanal
Southern Pacific Ocean	Solomon Islands	Makira
Southern Pacific Ocean	Solomon Islands	Malaupaina
Southern Pacific Ocean	Solomon Islands	New Georgia
Southern Pacific Ocean	Southern Lau Islands	Fulaga
Southern Pacific Ocean	Southern Lau Islands	Ogea Levu
Southern Pacific Ocean	Southern Lau Islands	Olorua
Southern Pacific Ocean	Tokelau	Tokelau
Southern Pacific Ocean	Tonga Islands	Haareva Island
Southern Pacific Ocean	Tonga Islands	Tokū
Southern Pacific Ocean	Tuamotu Archipelago	Tepoto
Southern Pacific Ocean	Tuamotu Archipelago	Vanavana
Southern Pacific Ocean	Tuvalu	Funafuti Atoll
Southern Pacific Ocean	Tuvalu	Niutao
Southern Pacific Ocean	Vanua Levu Group	Vanua Levu
Southern Pacific Ocean	Vanuatu	Efate
Southern Pacific Ocean	Vanuatu	Paama
Southern Pacific Ocean	Viti Levu Group	Vatulele
Southern Pacific Ocean	Viti Levu Group	Viti Levu
Southern Pacific Ocean	Wallis Islands	Uvea
Southern Pacific Ocean	Wallis Islands	Wallis
Southwest Pacific Ocean		Macquarie
St. Lawrence River		Cacouna Rock
St. Lawrence River	Hochelaga Archipelago	Montréal
St. Mary's River		Sugar
Stag Bay	Alexander Archipelago	Chichagof
Stage Island Bay		Stage
Steinberger Slough		Bair
Strait of Georgia		Balaklava
Strait of Georgia		Bowen
Strait of Georgia		Bramham
Strait of Georgia		Duncan
Strait of Georgia		Gambier
Strait of Georgia		Hope
Strait of Georgia		Hurst
Strait of Georgia		Mandarte
Strait of Georgia		Mitlenatch
Strait of Georgia		Passage
Strait of Georgia		Ruth
Strait of Georgia		Savary
Strait of Georgia		Sea Island
Strait of Georgia		Texada
Strait of Georgia		Vancouver
Strait of Georgia		Vansittart
Strait of Georgia	Discovery Islands	Cortes
Strait of Georgia	Gordon Islands	Doyle
Strait of Georgia	Gulf Islands	Sydney
Strait of Georgia	Northern Gulf Islands	Hornby
Strait of Georgia	Northern Gulf Islands	Texada
Strait of Georgia	Southern Gulf Islands	Galiano
Strait of Georgia	Southern Gulf Islands	Mayne Island
Strait of Georgia	Southern Gulf Islands	North Pender
Strait of Georgia	Southern Gulf Islands	Salt Spring
Strait of Georgia	Southern Gulf Islands	Saturna
Strait of Georgia	Southern Gulf Islands	South Pender
Strait of Georgia	Southern Gulf Islands	Sydney
Strait of Georgia	Thormanby Islands	South Thormanby
Strait of Juan de Fuca		Discovery
Strait of Juan de Fuca		Mandarte
Strait of Juan de Fuca		Protection
Strait of Juan de Fuca		Smith
Strait of Juan de Fuca		Strongtide
Strait of Juan de Fuca		Waddah
Straits of Florida		Key West
Straits of Florida	Florida Keys	Big Pine Key
Straits of Florida	Florida Keys	Key West
Straits of Florida	Florida Keys	Long Pine Key
Straits of Florida	Florida Keys	Lower Matecumbe Key
Straits of Florida	Florida Keys	Sugar Loaf Key
Susitna River		Delta
Tasman Sea		Bruny
Tasman Sea		Montague
Tasman Sea		Mutton Bird
Tasman Sea		Norfolk
Tasman Sea		North Island
Tasman Sea		South Island
Tasman Sea	Capricorn Group	Heron
Tasman Sea	Lord Howe Island	Lord Howe
Te Nggano	Rennell Islands	Rennell
Tji Beureum	Greater Sunda Islands	Java
Torres Strait	Torres Strait Islands	Moa
Unalaska Bay	Fox Islands	Amaknak
Union Bay		Foster
Upper New York Bay		Bedloe
Upper New York Harbor		Liberty
Utah Lake		Bird
Virginia Barrier Islands		Hog
Wai Abung	Greater Sunda Islands	Sumatra
Wellfleet Harbor		Lieutenant
Wellington Bay	Canadian Arctic Archipelago	Victoria
Western North Atlantic Ocean		Isla de Enmedio
Western North Pacific Ocean		Moneron
Western North Pacific Ocean	Kuril Islands	Anuchina
Western North Pacific Ocean	Kuril Islands	Brat Chirpoyev
