"verbatimSex","standardSex","uri","checked","opinionBy","opinionDate"
" ",,,1,"John Wieczorek","2017-08-25"
"-",,,1,"John Wieczorek","2017-08-25"
"--",,,1,"John Wieczorek","2017-08-25"
"---",,,1,"John Wieczorek","2017-08-25"
"----",,,1,"John Wieczorek","2017-08-25"
"—",,,1,"John Wieczorek","2017-08-25"
" ?","in question",,1,"John Wieczorek","2017-08-25"
"-- [apparantly F]","female",,1,"John Wieczorek","2017-08-25"
"-- [apparantly M]","male",,1,"John Wieczorek","2017-08-25"
" F","female",,1,"John Wieczorek","2017-08-25"
" M","male",,1,"John Wieczorek","2017-08-25"
"""",,,1,"John Wieczorek","2017-08-25"
"""?""","in question",,1,"John Wieczorek","2017-08-25"
"""?""[=M]","in question",,1,"John Wieczorek","2017-08-25"
"""[illeg]""","unknown",,1,"John Wieczorek","2017-08-25"
"""[illeg]"" [app M]","male",,1,"John Wieczorek","2017-08-25"
"""[illeg]"" [presumably =F]","female",,1,"John Wieczorek","2017-08-25"
"""F ? *","in question",,1,"John Wieczorek","2017-08-25"
"""F ? M""","in question",,1,"John Wieczorek","2017-08-25"
"""F [M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F I think""","in question",,1,"John Wieczorek","2017-08-25"
"""F M""","unknown",,1,"John Wieczorek","2017-08-25"
"""F""","female",,1,"John Wieczorek","2017-08-25"
"""F"" & ""M"" [app.=F]","unknown",,1,"John Wieczorek","2017-08-25"
"""F"" ?","in question",,1,"John Wieczorek","2017-08-25"
"""F"" ? [=M]","in question",,1,"John Wieczorek","2017-08-25"
"""F"" ?[=M]","in question",,1,"John Wieczorek","2017-08-25"
"""F"" [=app.M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F"" [=M ?]","in question",,1,"John Wieczorek","2017-08-25"
"""F"" [=M prob.]","unknown",,1,"John Wieczorek","2017-08-25"
"""F"" [=M?]","in question",,1,"John Wieczorek","2017-08-25"
"""F"" [=M]","unknown",,1,"John Wieczorek","2017-08-25"
"""F"" [=M]*","unknown",,1,"John Wieczorek","2017-08-25"
