"verbatimDay","dayNumber","checked","opinionBy","opinionDate"
" ",,1,"John Wieczorek","2018-09-19"
"-",,1,"John Wieczorek","2018-04-29"
"--",,1,"David Bloom","2017-12-18"
" 15 & 16",,1,"David Bloom","2017-12-28"
" IX ",,1,"John Wieczorek","2018-05-18"
"(?)",,1,"John Wieczorek","2018-04-29"
"(8?)",,1,"John Wieczorek","2017-12-03"
"(April?)",,1,"John Wieczorek","2018-04-29"
"*",,1,"John Wieczorek","2018-09-19"
"/",,1,"John Wieczorek","2018-04-29"
";",0,1,"David Bloom","2018-06-11"
"-;",0,1,"David Bloom","2018-06-11"
"?",,1,"John Wieczorek","2017-12-03"
"??",,1,"John Wieczorek","2018-04-26"
"?1",1,1,"John Wieczorek","2018-05-18"
"?11",11,1,"John Wieczorek","2018-05-18"
"?14",14,1,"John Wieczorek","2018-05-18"
"?2",,1,"John Wieczorek","2018-04-29"
"?20",20,1,"John Wieczorek","2018-05-18"
"?22",22,1,"John Wieczorek","2018-05-18"
"?24",24,1,"John Wieczorek","2018-05-18"
"?4",4,1,"John Wieczorek","2018-05-18"
"?late",,1,"John Wieczorek","2018-05-18"
"[illegible]",,1,"John Wieczorek","2018-04-29"
"[July",0,1,"David Bloom","2018-06-14"
"[no",,1,"John Wieczorek","2018-04-13"
"~",,1,"John Wieczorek","2018-04-30"
"~20",,1,"John Wieczorek","2017-12-02"
"~24",24,1,"David Bloom","2018-06-13"
"~5",5,1,"David Bloom","2018-06-13"
"0",,1,"John Wieczorek","2018-04-26"
"00",,1,"John Wieczorek","2017-12-02"
"01",1,1,"John Wieczorek","2017-08-25"
"02",2,1,"John Wieczorek","2017-08-25"
"03",3,1,"John Wieczorek","2017-08-25"
"04",4,1,"John Wieczorek","2017-08-25"
"05",5,1,"John Wieczorek","2017-08-25"
"06",6,1,"John Wieczorek","2017-08-25"
"07",7,1,"John Wieczorek","2017-08-25"
"08",8,1,"John Wieczorek","2017-08-25"
"09",9,1,"John Wieczorek","2017-08-25"
"1",1,1,"John Wieczorek","2017-08-25"
"1 - 2",,1,"John Wieczorek","2018-09-19"
"1 - 3",,1,"John Wieczorek","2018-09-19"
"1 - 9",,1,"John Wieczorek","2018-09-19"
"10",10,1,"John Wieczorek","2017-08-25"
"10 - 11",,1,"John Wieczorek","2018-09-19"
"10 - 14",,1,"John Wieczorek","2018-09-19"
"10/",10,1,"John Wieczorek","2018-09-19"
"10-12",,1,"John Wieczorek","2018-09-19"
"11",11,1,"John Wieczorek","2017-08-25"
"11-",11,1,"John Wieczorek","2017-12-03"
"11 - 12",,1,"John Wieczorek","2018-09-19"
"11/",11,1,"John Wieczorek","2018-09-19"
"1115",,1,"John Wieczorek","2017-12-03"
"12",12,1,"John Wieczorek","2017-08-25"
"12 - 13",,1,"John Wieczorek","2018-09-19"
"1200",,1,"John Wieczorek","2018-05-18"
"13",13,1,"John Wieczorek","2017-08-25"
"13 - 14",,1,"John Wieczorek","2018-09-19"
"13 - 15",,1,"John Wieczorek","2018-09-19"
"13 - 18",,1,"John Wieczorek","2018-09-19"
"13.825",,1,"David Bloom","2018-02-19"
"14",14,1,"John Wieczorek","2017-08-25"
"14 - 15",,1,"John Wieczorek","2018-09-19"
"14 - 17",,1,"John Wieczorek","2018-09-19"
"14 - 20",,1,"John Wieczorek","2018-09-19"
"14-15",,1,"John Wieczorek","2018-09-19"
"14-16",,1,"John Wieczorek","2018-09-19"
"1418",,1,"John Wieczorek","2017-12-03"
"15",15,1,"John Wieczorek","2017-08-25"
"15 - 19",,1,"John Wieczorek","2018-09-19"
"15 - 22",,1,"John Wieczorek","2018-09-19"
"15 - 27",,1,"John Wieczorek","2018-09-19"
"15 & 16",,1,"David Bloom","2017-12-28"
"15 &16",,1,"David Bloom","2017-12-28"
"15 -7",,1,"John Wieczorek","2018-09-19"
"15&16",,1,"David Bloom","2017-12-28"
"15-16",,1,"John Wieczorek","2018-09-19"
"16",16,1,"John Wieczorek","2017-08-25"
"16 - 17",,1,"John Wieczorek","2018-09-19"
"16 - 18",,1,"John Wieczorek","2018-09-19"
"16 - 29",,1,"John Wieczorek","2018-09-19"
"17",17,1,"John Wieczorek","2017-08-25"
"1-7",,1,"John Wieczorek","2018-09-19"
"17-",17,1,"John Wieczorek","2017-11-01"
"17 - 18",,1,"John Wieczorek","2018-09-19"
"17 - 19",,1,"John Wieczorek","2018-09-19"
"17 - 22",,1,"John Wieczorek","2018-09-19"
"17-18",,1,"John Wieczorek","2018-09-19"
"17-2",,1,"John Wieczorek","2018-09-19"
"18",18,1,"John Wieczorek","2017-08-25"
"18 - 19",,1,"John Wieczorek","2018-09-19"
"18 - 20",,1,"John Wieczorek","2018-09-19"
"18 - 24",,1,"John Wieczorek","2018-09-19"
"18-19-20",,1,"John Wieczorek","2017-12-03"
"18-23",,1,"John Wieczorek","2018-04-26"
"1838",0,1,"David Bloom","2018-06-14"
"1847",,1,"John Wieczorek","2018-05-18"
"1852",0,1,"David Bloom","2018-06-11"
"1853",0,1,"David Bloom","2018-06-11"
"1854",0,1,"David Bloom","2018-06-11"
"1858-",0,1,"David Bloom","2018-06-11"
"1859",0,1,"David Bloom","2018-06-14"
"1864",0,1,"David Bloom","2018-06-14"
"1867",0,1,"David Bloom","2018-06-14"
"1875",,1,"John Wieczorek","2018-04-29"
"19",19,1,"John Wieczorek","2017-08-25"
"19-",,1,"John Wieczorek","2017-12-03"
"19 - 20",,1,"John Wieczorek","2018-09-19"
"19 - 21",,1,"John Wieczorek","2018-09-19"
"19 - 23",,1,"John Wieczorek","2018-09-19"
"1907",,1,"John Wieczorek","2018-05-18"
"19-21",,1,"John Wieczorek","2018-09-19"
"1922",,1,"John Wieczorek","2018-04-29"
"1926",0,1,"David Bloom","2018-06-11"
"1936",,1,"John Wieczorek","2018-05-18"
"1941",,1,"John Wieczorek","2017-11-01"
"1945",,1,"John Wieczorek","2018-05-18"
"1947",,1,"David Bloom","2018-01-17"
"1948",,1,"John Wieczorek","2018-09-19"
"1952",,1,"John Wieczorek","2018-09-19"
"1955",0,1,"David Bloom","2018-06-11"
"1957",,1,"John Wieczorek","2018-05-18"
"1960",0,1,"David Bloom","2018-06-13"
"1963",0,1,"David Bloom","2018-06-11"
"1968",,1,"John Wieczorek","2017-12-03"
"1970",,1,"John Wieczorek","2017-12-03"
"1976",,1,"John Wieczorek","2017-12-03"
"1977",,1,"John Wieczorek","2017-11-01"
"1983",,1,"David Bloom","2018-03-22"
"1984",0,1,"David Bloom","2018-06-14"
"1985",,1,"John Wieczorek","2018-04-29"
"1988",,1,"John Wieczorek","2018-05-18"
"1989",,1,"John Wieczorek","2017-11-01"
"1st",1,1,"John Wieczorek","2017-12-03"
"2",2,1,"John Wieczorek","2017-08-25"
"2 - 20",,1,"John Wieczorek","2018-09-19"
"2 - 3",,1,"John Wieczorek","2018-09-19"
"2 and 3",,1,"John Wieczorek","2017-12-03"
"2/",2,1,"John Wieczorek","2018-09-19"
"20",20,1,"John Wieczorek","2017-08-25"
"20-",20,1,"John Wieczorek","2017-12-03"
"20 - 21",,1,"John Wieczorek","2018-09-19"
"20 - 22",,1,"John Wieczorek","2018-09-19"
"20 - 30",,1,"John Wieczorek","2018-09-19"
"20 -30",,1,"John Wieczorek","2018-09-19"
"2013 - 07",,1,"John Wieczorek","2018-04-28"
"21",21,1,"John Wieczorek","2017-08-25"
"21 - 22",,1,"John Wieczorek","2018-09-19"
"22",22,1,"John Wieczorek","2017-08-25"
"22 - 23",,1,"John Wieczorek","2018-09-19"
"22 - 24",,1,"John Wieczorek","2018-09-19"
"22-24",,1,"John Wieczorek","2018-09-19"
"23",23,1,"John Wieczorek","2017-08-25"
"23 - 24",,1,"John Wieczorek","2018-09-19"
"23 - 25",,1,"John Wieczorek","2018-09-19"
"23-24",,1,"John Wieczorek","2018-09-19"
"23-25",,1,"John Wieczorek","2018-09-19"
"24",24,1,"John Wieczorek","2017-08-25"
"2-4",,1,"John Wieczorek","2018-09-19"
"24 - 25",,1,"John Wieczorek","2018-09-19"
"24 - 9",,1,"John Wieczorek","2018-09-19"
"24/25",,1,"John Wieczorek","2018-04-29"
"24-10",,1,"John Wieczorek","2018-09-19"
"25",25,1,"John Wieczorek","2017-08-25"
"25 - 6",,1,"John Wieczorek","2018-09-19"
"25 -6",,1,"John Wieczorek","2018-09-19"
"25-6",,1,"John Wieczorek","2017-12-03"
"25th",25,1,"John Wieczorek","2018-04-28"
"26",26,1,"John Wieczorek","2017-08-25"
"26-",,1,"John Wieczorek","2017-12-03"
"26 - 27",,1,"John Wieczorek","2018-09-19"
"26/27",,1,"John Wieczorek","2018-04-30"
"26-27",,1,"John Wieczorek","2018-09-19"
"26-31",,1,"John Wieczorek","2018-09-19"
"27",27,1,"John Wieczorek","2017-08-25"
"27 - 28",,1,"John Wieczorek","2018-09-19"
"27/28",,1,"John Wieczorek","2018-04-29"
"27-31",,1,"John Wieczorek","2018-09-19"
"28",28,1,"John Wieczorek","2017-08-25"
"28 - 29",,1,"John Wieczorek","2018-09-19"
"2829",,1,"John Wieczorek","2017-12-03"
"28-29",,1,"John Wieczorek","2018-09-19"
"28-30",,1,"John Wieczorek","2018-09-19"
"29",29,1,"John Wieczorek","2017-08-25"
"2nd",2,1,"John Wieczorek","2017-12-03"
"3",3,1,"John Wieczorek","2017-08-25"
"3 - 24",,1,"John Wieczorek","2018-09-19"
"3 - 4",,1,"John Wieczorek","2018-09-19"
"3 - 5",,1,"John Wieczorek","2018-09-19"
"3 - 9",,1,"John Wieczorek","2018-09-19"
"3 and 4",,1,"John Wieczorek","2017-12-03"
"3/",3,1,"John Wieczorek","2018-09-19"
"3;",3,1,"David Bloom","2018-06-11"
"30",30,1,"John Wieczorek","2017-08-25"
"30 - 6",,1,"John Wieczorek","2018-09-19"
"30-12",,1,"John Wieczorek","2018-09-19"
"31",31,1,"John Wieczorek","2017-08-25"
"31-",31,1,"John Wieczorek","2017-12-03"
"31-4",,1,"John Wieczorek","2018-09-19"
"33",,1,"John Wieczorek","2017-12-02"
"3-4",,1,"John Wieczorek","2018-09-19"
"36",,1,"David Bloom","2018-05-18"
"3rd",3,1,"John Wieczorek","2018-05-18"
"4",4,1,"John Wieczorek","2017-08-25"
"4/",4,1,"John Wieczorek","2018-09-19"
"4-19",,1,"John Wieczorek","2018-09-19"
"4-5",,1,"John Wieczorek","2018-09-19"
"49",,1,"John Wieczorek","2017-12-03"
"5",5,1,"John Wieczorek","2017-08-25"
"5/6",,1,"John Wieczorek","2018-05-18"
"54;",0,1,"David Bloom","2018-06-11"
"5-6",,1,"John Wieczorek","2018-09-19"
"56-",0,1,"David Bloom","2018-06-11"
