"u_datumstr","epsg"
"-24.30008",
"-24.6333",
"-24.78212",
"-24.78333333",
"-24.8667",
"-24.91005",
"-24.9101",
"24/05/1949",
"2404",
"24041",
"242",
"24417",
"2451",
"246A",
"246-A",
"248",
"24824",
"2485",
"24929",
"-25.0875",
"-25.09407",
"-25.10246",
"-25.11241",
"-25.1397",
"-25.17",
"-25.2155",
"-25.25087",
"-25.2825",
"-25.2958",
"-25.29767",
"-25.29823",
"-25.31809",
"-25.37817",
"-25.38333",
"-25.38833",
"-25.3883333333333",
"-25.3958",
"25.4",
"-25.40792",
"-25.43333",
"-25.44704",
"-25.46667",
"-25.55983",
"-25.5903",
"-25.66667",
"-25.6667",
"-25.67974",
"-25.83867",
"-25.85333",
"-25.92167",
"25349",
"25489",
"25665",
"25710",
"2576",
"2577",
"2580",
"-26.0529",
"26.0595700000",
"-26.10971",
"26.1666666666667",
"-26.17403",
"-26.19917",
"-26.24514",
"-26.24858",
"26.3166666666667",
"-26.35117",
"-26.3702",
"-26.511",
"-26.5125",
"-26.58667",
"-26.6",
"-26.635",
"-26.645",
"-26.68583",
"-26.74967",
"-26.76217",
"-26.84585",
"-26.86",
"-26.90167",
"26/05/1949",
"260",
"26117",
"26127",
"262",
"263",
"27",
"-27.01167",
"-27.06333",
"-27.18",
"-27.23333",
"-27.2875",
"-27.36264",
"-27.3833",
"-27.40089",
"-27.40895",
"-27.42531",
"-27.44688",
"27.4666666666667",
"-27.50667",
"-27.51311",
"-27.58513",
"-27.66583",
"-27.74667",
"-27.76645",
"-27.83333",
"-27.83809",
"-27.83833",
"-27.85253",
"-27.86667",
"-27.875",
"-27.88405",
"-27.8894",
"-27.92333",
"-27.92411",
"-27.93345",
"-27.94917",
"-27.96788",
"27/07/1956",
"270",
"-270.833.333",
"270A",
"270FT",
"2735",
"-28.05",
"-28.0569",
"-28.0792",
"-28.0958",
"28.133333",
"-28.1903",
"-28.22833",
"-28.275",
"-28.2868",
"-28.37317",
"-28.44167",
"-28.51301",
"-28.5167",
"-28.55",
"-28.55697",
"-28.644",
"-28.655583",
"-28.65962",
"-28.77417",
"-28.84248",
"-28.84521",
"-28.98811",
"28/07/1971",
"28/09/1979",
"282",
"28556",
"28557",
"28558",
"28559",
"28560",
"28561",
"28562",
"28563",
"28564",
"28565",
"28566",
"28567",
"28568",
"28569",
"28570",
"28571",
"28572",
"28573",
"28574",
"28575",
"28576",
"28577",
"28578",
"28579",
"28580",
"28581",
"28582",
"28583",
"28584",
"28585",
"28586",
"28587",
"28588",
"28589",
"28590",
"28591",
"28592",
"28593",
"28594",
"28595",
"28596",
"28597",
"28598",
"28599",
"28600",
"28601",
"28602",
"28603",
"28604",
"28605",
"28606",
"28607",
"28608",
"28609",
"28610",
"28611",
"28612",
"28613",
"28614",
"28615",
"28616",
"28617",
"28618",
"28619",
"28620",
"28621",
"28622",
"28623",
"28624",
"28625",
"28626",
"28627",
"28628",
"28629",
"28630",
"28631",
"28632",
"28633",
"28634",
"28635",
"28636",
"28637",
"28638",
"28639",
"28640",
"28641",
"28642",
"28643",
"28644",
"28645",
"28646",
"28647",
"28648",
"28649",
"28650",
"28651",
"28652",
"28653",
"28654",
"28655",
"28656",
"28657",
"28658",
"28659",
"28660",
"28661",
"28662",
"28663",
"28664",
"28665",
"28666",
"28667",
"28668",
"28669",
"28670",
"28671",
"28672",
"28673",
"28674",
"28675",
"28676",
"28677",
"28678",
"28679",
"28680",
"28681",
"28682",
"28683",
"28684",
"28685",
"28686",
"28687",
"28688",
"28689",
"28690",
"28691",
"28692",
"28693",
"28694",
"28695",
"28696",
"28697",
"28698",
"28699",
"28700",
"28701",
"28702",
"28703",
"28704",
"28705",
"28706",
"28707",
"28708",
"28709",
"28710",
"28711",
"28712",
"28713",
"28714",
"28715",
"28716",
"28717",
"28718",
"28719",
"28720",
"28721",
"28722",
"28723",
"28724",
"28725",
"28726",
"28727",
"28728",
"28729",
"28730",
"28731",
"28732",
"28733",
"28734",
"28735",
"28736",
"28737",
"28738",
"28739",
"28740",
"28741",
"28742",
"28743",
"28744",
"28745",
"28746",
"28747",
"28748",
"28749",
"28750",
"28751",
"28752",
"28753",
"28754",
"28755",
"28756",
"28757",
"28758",
"28759",
"28760",
"28761",
"28762",
"28763",
"28764",
"28765",
"28766",
"28767",
"28768",
"28769",
"28770",
"28771",
"28772",
"28773",
"28774",
"28775",
"28776",
"28777",
"28778",
"28779",
"28780",
"28781",
"28782",
"28783",
"28784",
"28785",
"28786",
"28787",
"28788",
"28789",
"28790",
"28791",
"28793",
"28794",
"28795",
"28796",
"28797",
"28798",
"28799",
"2880",
"28800",
"28801",
"28802",
"28803",
"28804",
"28805",
"28806",
"28807",
"28808",
"28809",
"28810",
"28811",
"28812",
"28813",
"28814",
"28815",
"28816",
"28817",
"28818",
"28819",
"28820",
"28821",
"28822",
"28823",
"28824",
"28825",
"28826",
"28827",
"28828",
"28829",
"28830",
"28831",
"28832",
"28833",
"28834",
"28835",
"28836",
"28837",
"28838",
"28839",
"28840",
"28841",
"28842",
"28843",
"28844",
"28845",
"28846",
"28847",
"28848",
"28849",
"28850",
"28851",
"28852",
"28853",
"28854",
"28855",
"28856",
"28857",
"28858",
"28860",
"28861",
"28863",
"28864",
"28865",
"28866",
"28867",
"28868",
"28869",
"28870",
"28871",
"28872",
"28873",
"28874",
"28875",
"28876",
"28877",
"28878",
"28879",
"28880",
"28881",
"28882",
"28883",
"28884",
"28885",
"28886",
"28887",
"28888",
"28889",
"28890",
"28891",
"28892",
"28893",
"28894",
"28895",
"28896",
"28897",
"28898",
"28899",
"28900",
"28901",
"28902",
"28903",
"28904",
"28905",
"28906",
"28907",
"28908",
"28909",
"28910",
"28911",
"28912",
"28913",
"28914",
"28915",
"28916",
"28917",
"28918",
"28920",
"28921",
"28922",
"28923",
"28924",
"28925",
"28926",
"28927",
"28928",
"28930",
"28931",
"28932",
"28933",
"28934",
"28935",
"28936",
"28938",
"28940",
"28941",
"28942",
"28943",
"28944",
"28945",
"28946",
"28947",
"28948",
"28949",
"28950",
"28951",
"28952",
"28953",
"28955",
"28956",
"28957",
"28958",
"28959",
"28960",
"28961",
"28962",
"28963",
"28964",
"28965",
"28966",
"28967",
"28968",
"28969",
"28970",
"28971",
"28972",
"28973",
"28974",
"28975",
"28976",
"28977",
"28978",
"28979",
"28980",
"28981",
"28982",
"28983",
"28984",
"28985",
"28986",
"28987",
"28988",
"28989",
"28990",
"28991",
"28992",
"28993",
"28994",
"28995",
"28996",
"28997",
"28998",
"28999",
"-29.08333",
"-29.1",
"-29.13317",
"-29.16667",
"-29.19",
"-29.26",
"-29.26333",
"-29.26724",
"-29.26774",
"-29.27631",
"-29.41667",
"-29.93167",
"29/05/1949",
"29/09/1979",
"29000",
"29001",
"29002",
"29003",
"29004",
"29005",
"29006",
"29007",
"29008",
"29009",
"29010",
"29011",
"29012",
"29013",
"29014",
"29015",
"29016",
"29017",
"29018",
"29019",
"29020",
"29021",
"29022",
"29023",
"29024",
"29025",
"29026",
"29027",
"29028",
"29029",
"29030",
"29031",
"29032",
"29033",
"29034",
"29035",
"29036",
"29037",
"29038",
"29039",
"29040",
"29041",
"29043",
"29044",
"29045",
"29046",
"29047",
"29048",
"29049",
"29050",
"29051",
"29052",
"29053",
"29054",
"29055",
"29056",
"29057",
"29058",
"29059",
"29060",
"29061",
"29063",
"29064",
"29065",
"29066",
"29067",
"29068",
"29069",
"29070",
"29071",
"29072",
"29073",
"29074",
"29075",
"29076",
"29077",
"29078",
"29079",
"29080",
"29081",
"29082",
"29083",
"29084",
"29085",
"29086",
"29087",
"29088",
"29089",
"29090",
"29091",
"29092",
"29093",
"29094",
"29095",
"29096",
"29097",
"29098",
"29099",
"29100",
"29101",
"29102",
"29103",
"29104",
"29105",
"29106",
"29107",
"29108",
"29109",
"29110",
"29111",
"29112",
"29113",
"29114",
"29115",
"29116",
"29117",
"29118",
"29119",
"29120",
"29121",
"29122",
"29123",
"29124",
"29125",
"29126",
"29127",
"29128",
"29129",
"29130",
"29131",
"29132",
"29133",
"29134",
"29135",
"29136",
"29137",
"29138",
"29139",
"29140",
"29141",
"29142",
"29143",
"29144",
"29145",
"29146",
