lifestage	standard	vetted
F.	unknown	1
F/(YEARLING)	yearling	1
F/08 DAYS OLD		1
F/1 DAY OLD		1
F/10 DAYS		1
F/10 DAYS OLD		1
F/13 DAYS		1
F/14 DAYS OLD		1
F/17 MONTHS		1
F/19 MONTHS		1
F/2 DAYS		1
F/2 YEARS		1
F/20 DAYS		1
F/21 DAYS		1
F/25 DAYS		1
F/3 DAYS OLD		1
F/30 DAYS		1
F/4 YRS.GON=3.5X1.8		1
F/40 DAYS		1
F/41 DAYS		1
F/42 DAYS OLD		1
F/6 DAYS		1
F/6 YEARS		1
F/8 DAYS OLD		1
F/8 YEARS		1
F/86 DAYS		1
F/9 DAYS OLD		1
F/AD	adult	1
F/ADULT	adult	1
F/CLASS IA		1
F/FIRST YEAR		1
F/FLEDGLING	fledgling	1
F/HY		1
F/IMM	immature	1
F/IMM.	immature	1
F/IMM.GON=16.1X5.2	immature	1
F/IMMATURE	immature	1
F/J	juvenile	1
F/JUV	juvenile	1
F/JUV.	juvenile	1
F/JUVENILE	juvenile	1
F/NA	unknown	1
F/NESTLING	nestling	1
F/YEARLING	yearling	1
F/YLG.	yearling	1
F/YRLG.	yearling	1
F?	unknown	1
F?, JUV	juvenile	1
F?/AD	adult	1
F?/FLEDGLING	fledling	1
F?/IMM	immature	1
F~	unknown	1
F~ JUV	juvenile	1
F+	unknown	1
FEMALE		1
FEMALE - ?		1
FEMALE - ADULT	adult	1
FEMALE - HY		1
FEMALE - S.AD.	subadult	1
FEMALE (?)		1
FEMALE (1 DAY OLD)		1
FEMALE (2YRS)		1
FEMALE (3 DAYS OLD)		1
FEMALE (A.R. PHILLIPS)		1
FEMALE (HY)		1
FEMALE (IMM.)	immature	1
FEMALE (IMMATURE)	immature	1
FEMALE (IMP.)	immature	1
FEMALE (JUV.)	juvenile	1
FEMALE (JUV?)	juvenile	1
FEMALE (JUVENILE)	juvenile	1
FEMALE (LAC.)	adult	1
FEMALE (LF=1.8)		1
FEMALE (LF=3.9)		1
FEMALE (PREG.)	adult	1
FEMALE (RC2785) COLLECTED		1
FEMALE (SA)	subadult	1
FEMALE (SUB-ADULT)	subadult	1
FEMALE ?		1
FEMALE [= MALE ?]		1
FEMALE [ADULT]	adult	1
FEMALE [IMMATURE]	immature	1
FEMALE [MALE ?]		1
FEMALE + MALE + NEST		1
FEMALE ADULT	adult	1
FEMALE BREAKING ONE EVERY DAY OR		1
FEMALE BREAKING ONE EVERY DAY OR SO; 98-SF04-ES-1,		1
FEMALE BY PLUMAGE		1
